filename	topic	secondary_topic	summary
09128.md	sn-script	content-creation	# YouTube Ingest Pipeline — Setup Guide
09253.md	sn-canon	sn-other	I will start by creating the necessary directories and saving the prompt file as requested. Then, I
09254.md	sn-result	sn-canon	# Semantic Notation Block Templates
09255.md	design	philosophy-epistemology	# Taste for Makers
09256.md	sn-script	content-creation	# How to Speak
09257.md	history	content-creation	# What is the Emerald Tablet of Hermes Trismegistus - Origins of Alchemy and Hermetic Philosophy
09258.md	content-creation	sn-script	# Initiates of the Flame (1922) by Manly P. Hall
09259.md	history	content-creation	# Mysticism in Ancient Greece
09260.md	design	sn-script	# David Pearce | How to End All Suffering
09261.md	ai-coding	sn-script	# COMPUTER SCIENCE explained in 17 Minutes
09262.md	sn-script	content-creation	# Masters vs. Slaves | Nietzsche's Genealogy of Morality Explained
09263.md	sn-script	content-creation	# The Woman Who Helps NBA Stars To Sleep: Stop Having Showers Just Before Bed! Dr Cheri Mah
09264.md	sn-script	content-creation	# What is Generative Art: TouchDesigner’s Role in Art, Algorithms, and Creative Systems Explained
09265.md	biology-evolution	ai-safety	# Don't invent faster horses - Prof. Jeff Clune
09266.md	biology-neuroscience	sn-script	# A Universal Theory of Brain Function
09267.md	ai-agents	sn-prompt	# Writing a good CLAUDE.md
09268.md	sn-prompt	ai-agents	# What Actually Is Claude Code's Plan Mode?
09269.md	biology-neuroscience	biology-evolution	# Joseph Henrich: Cultural Evolution and the Collective Brain
09270.md	biology-neuroscience	biology-evolution	has_transcript: yes
09271.md	sn-pipeline	sn-canon	# Benjamin Bratton: A Philosophy of Planetary Computation
09272.md	sn-canon	sn-pipeline	# Scott Alexander & Daniel Kokotajlo: AI 2027
09273.md	sn-system-prompt	sn-script	# The 7 Hermetic Laws FINALLY Explained in a Way That Makes Sense - no bs
09274.md	sn-script	content-creation	# When a President Was Forced to Survive in the Amazon Jungle
09275.md	claude-code	sn-prompt	# Claude Code: Best Practices for Agile Coding
09276.md	content-creation	sn-script	# Stephen Heintz & Kim Stanley Robinson | A Logic For The Future | Long Now Talks
09277.md	philosophy-consciousness	sn-script	# The Mind-Body Problem - Thomas Nagel - C&R 04/30/2025
09278.md	content-creation	sn-script	# What Happens When AI Is More Valuable Than Humans?
09279.md	philosophy-consciousness	biology-neuroscience	# The Research That Rethinks Neuroscience & Biology | Dr. Bernardo Kastrup
09280.md	sn-script	claude-code	# How to 'See' the 4th Dimension with Topology
09281.md	sn-canon	ai-agents	# Sholto Douglas & Trenton Bricken: Is RL + LLMs Enough for AGI?
09282.md	design	sn-config	# configure your tmux.
09283.md	sn-pipeline	history	has_transcript: yes
09284.md	sn-pipeline	history	# Sara Imari Walker: An Informational Theory of Life
09285.md	philosophy-epistemology	design	has_transcript: yes
09286.md	philosophy-epistemology	design	# SOURCE: Ethan Mollick - AI's Jagged Frontier and Organizational Transformation
09287.md	ai-agents	sn-task	# Don't Build Multi-Agents
09288.md	design	content-creation	# He Built a $1M Business in 12 Months - Every Step Explained (Case Study)
09289.md	philosophy-consciousness	biology-neuroscience	# Five New Paradigms of Intelligence
09290.md	philosophy-consciousness	biology-neuroscience	has_transcript: yes
09291.md	design	philosophy-consciousness	# How Plants Think & What It Teaches us about Consciousness
09292.md	design	ai-general	# #20 – Melanie Mitchell: The Science of Artificial Thinking
09293.md	biology-neuroscience	design	# A Fundamental Unit Of Intelligence
09294.md	sn-architecture	history	# How Modern Technology Is Reviving An Ancient Chinese Problem
09295.md	biology-evolution	biology-neuroscience	# The Intelligence of Us: Rethinking Minds in the Age of AI
09296.md	biology-evolution	biology-neuroscience	has_transcript: yes
09297.md	design	content-creation	# The neuroscience of extremes: Ruthless psychopathy to extraordinary generosity | Abigail Marsh
09298.md	biology-neuroscience	content-creation	# 3 Ways Mathematics Alters Your Brain
09299.md	sn-script	content-creation	# The Psychology of a GENIUS | Schopenhauer
09300.md	claude-code	design	https://dinanjana.medium.com/mastering-the-vibe-claude-code-best-practices-that-actually-work-823371
09301.md	philosophy-epistemology	physics-cosmology	has_transcript: yes
09302.md	philosophy-epistemology	physics-cosmology	# SOURCE: David Deutsch - AGI Theory, Quantum Computing, and Knowledge Creation
09303.md	philosophy-consciousness	physics-cosmology	has_transcript: yes
09304.md	physics-cosmology	ai-safety	# SOURCE: Max Tegmark - Physics, Consciousness, and AI Safety
09305.md	sn-script	ai-agents	# No XP Waste
09306.md	content-creation	geopolitics-iran	# Don't chase happiness. Become antifragile | Tal Ben-Shahar: Full Interview
09307.md	design	sn-architecture	# Foundation Models for Physical Intelligence
09308.md	sn-architecture	software-engineering	has_transcript: yes
09309.md	content-creation	sn-script	# should i live inside a netcafe?
09310.md	biology-evolution	design	# AGI Ontology and Conceptualization Thread
09311.md	design	self-improvement	# The Ultimate Guide to Building a Lifestyle Business
09312.md	sn-script	philosophy-epistemology	# "Non narrative thinking" is literally changing my life
09313.md	sn-script	content-creation	# Why Your Cuts Are Off (How To Mark + Cut Like a Pro)
09314.md	content-creation	sn-script	# So You're Having an Existential Crisis. What Now? - Sisyphus55
09315.md	content-creation	sn-script	# But what is a Laplace Transform?
09316.md	physics-cosmology	design	# Faith, Physics, and the Quantum Race: Matthew Kinsella on Commercializing Quantum
09317.md	physics-cosmology	design	has_transcript: yes
09318.md	design	physics-cosmology	# Interface Theory of Perception and Consciousness
09319.md	design	biology-evolution	has_transcript: yes
09320.md	content-creation	sn-script	# The Philosophy of Witchcraft
09321.md	philosophy-consciousness	economics-investing	# Reid Hoffman on AI, Consciousness, and the Future of Labor
09322.md	philosophy-consciousness	sn-script	has_transcript: yes
09323.md	ai-agents	ai-models	has_transcript: yes
09324.md	ai-agents	ai-models	# Ben Goertzel: AGI, Big Tech Innovation Limits, and Decentralized Future
09325.md	biology-evolution	physics-cosmology	has_transcript: yes
09326.md	biology-evolution	design	# The Universal Hierarchy of Life
09327.md	sn-architecture	design	# Don't Die: Bryan Johnson on Living Forever, AI, and Blueprint's $60M Round
09328.md	sn-architecture	ai-safety	has_transcript: yes
09329.md	design	sn-script	# How to Be So Productive That It Makes You Dangerous
09330.md	mcp	ai-agents	# Scale AI MCP Atlas Benchmark: Evaluating Agent Capabilities
09331.md	mcp	ai-agents	has_transcript: yes
09332.md	design	ai-models	has_transcript: yes
09333.md	design	ai-models	# ARC-AGI v3 and Measuring Intelligence
09334.md	biology-evolution	design	# Henrik von Scheel: Engineering in the Fourth Industrial Revolution
09335.md	design	biology-evolution	has_transcript: yes
09336.md	ai-models	biology-evolution	has_transcript: yes
09337.md	biology-evolution	biology-neuroscience	# Life Emerges From Code
09338.md	physics-cosmology	geopolitics-russia	has_transcript: yes
09339.md	physics-cosmology	geopolitics-russia	# Macroscopic Quantum Tunneling to Quantum Computing
09340.md	economics-investing	self-improvement	# Cathie Wood: Productivity-Driven Economic Boom Thesis
09341.md	economics-investing	self-improvement	has_transcript: yes
09342.md	geopolitics-russia	infrastructure	# The Next Phase of Accelerated Computing and AI
09343.md	geopolitics-russia	physics-cosmology	has_transcript: yes
09344.md	chatgpt	sn-task	has_transcript: yes
09345.md	sn-task	chatgpt	# OpenAI Structure Change and AI Timelines
09346.md	economics-investing	ai-agents	# Solana, Crypto-AI Convergence, and Machine-to-Machine Economics
09347.md	economics-investing	ai-agents	has_transcript: yes
09348.md	ai-agents	infrastructure	# The End of AI: Complete Integration into Society
09349.md	ai-agents	infrastructure	# The End of AI: Complete Integration into Society
09350.md	design	economics-investing	has_transcript: yes
09351.md	design	biology-evolution	# Marc Andreessen and Ben Horowitz on the State of AI
09352.md	design	sn-pipeline	# State of AI - Runtime Keynote
09353.md	design	content-creation	has_transcript: yes
09354.md	design	chatgpt	has_transcript: yes
09355.md	design	chatgpt	# Elon Musk on 3 Years of X, OpenAI Lawsuit, and The Future of Everything
09356.md	biology-evolution	sn-canon	# SOURCE: John Gaeta - Transmedia Storytelling and AI-Enabled Production
09357.md	design	biology-evolution	has_transcript: yes
09358.md	history	sn-canon	has_transcript: yes
09359.md	history	sn-canon	# JRE #2404: Elon Musk on Civilization, Technology, and AI Future
09360.md	design	sn-canon	# SOURCE: Trevor McCourt - Thermodynamic Computing and AI Energy Scaling
09361.md	design	content-creation	has_transcript: yes
09362.md	content-creation	physics-cosmology	has_transcript: yes
09363.md	physics-cosmology	design	# The Post-Labor Enterprise
09364.md	design	biology-evolution	has_transcript: yes
09365.md	design	chatgpt	# No Priors: The Best of 2025 (So Far)
09366.md	biology-neuroscience	sn-script	# How To Improve Your Focus Permanently
09367.md	history	sn-canon	has_transcript: yes
09368.md	history	sn-canon	# Renaissance 2.0: Open AI Models Signal Democratic Revolution
09369.md	design	sn-script	# My Notion PPV Tour: the original Notion Life OS, reimagined for 2026
09370.md	design	sn-script	# System Design Explained: APIs, Databases, Caching, CDNs, Load Balancing & Production Infra
09371.md	content-creation	ai-general	# How AI Will Change Everything! w/ Dr. Fei-Fei Li
09372.md	ai-agents	content-creation	# 🔴 DAY 1 Livestream - 5-Day AI Agents Intensive Course Google Ai - Agent What is AI Agent
09373.md	sn-script	ai-general	# Will AI kill us all? | Chris Meah | TEDxAstonUniversity
09374.md	content-creation	economics-investing	# The AI Bubble Narrative Is "Flat Wrong" | ARK Invest’s Brett Winton
09375.md	sn-script	design	# n8n JUST Leveled Up AI Agents With Guardrails: Here's How It Works
09376.md	claude-code	biology-neuroscience	# This neural interface writes code from my brain waves…
09377.md	content-creation	design	# They Built an AGI Lab in 8 Months
09378.md	design	sn-script	# Palantir Warp Speed Deep Dive
09379.md	chatgpt	sn-confirm	# ChatGPT Atlas Drove Me Insane (it's not just Chrome)
09380.md	content-creation	sn-script	# What Most People Miss in Marcus Aurelius' Meditations
09381.md	sn-rosetta	geopolitics-us-china	# Jensen Huang & @NVIDIA | 2025 Hawking Fellow | Cambridge Union
09382.md	content-creation	sn-result	# Lovable Boasts 8m Users: Long-Live Vibe Coding?
09383.md	design	economics-investing	# How to Speak So Well People Give You Money
09384.md	content-creation	ai-models	# Large Language Model Selection Masterclass - Nov 2025
09385.md	biology-evolution	content-creation	# How evolution works | Sean B. Carroll
09386.md	content-creation	gemini	# GEMINI 3.0 stealth release is blowing up (FULLY TESTED)
09387.md	economics-investing	content-creation	# Palantir CEO Alex Karp talks AI and slams those who doubt his company's stock
09388.md	sn-prompt	prompt-engineering	# How I Improved AI Output Quality 10X With One Prompting Shift
09389.md	content-creation	sn-script	# Singapore Tried to Grow More of Its Own Food...
09390.md	ai-general	sn-architecture	# World Model RAG: Generative Semantic Workspaces
09391.md	content-creation	sn-script	# 90% of AI Jargon Is Useless — Here's What Actually Matters
09392.md	ai-agents	content-creation	# Introducing SIMA 2, the next milestone in our research creating general and helpful AI agents.
09393.md	design	sn-script	# Controllable World Models are HERE
09394.md	design	history	# LIVESTREAM | Kate Crawford |  Mapping Empires
09395.md	sn-confirm	sn-script	# GPT-5.1 is built for normies
09396.md	content-creation	sn-script	# Are World Models AI's Next Big Thing?
09397.md	design	sn-script	# How to Customize Tmux (20XX Edition) | Zero Plugins
09398.md	content-creation	design	# Ecology of Mind: A Cybernetic Approach To Planetary Problems
09399.md	content-creation	sn-script	# CEO of Microsoft AI:The Next 10 Years Will Change Humanity Forever
09400.md	design	ai-agents	# Tavus: The AI Human Platform
09401.md	content-creation	economics-investing	# The Brutal Truth About Biotech: Why $2B Per Drug Is Killing Innovation
09402.md	chatgpt	sn-prompt	# ChatGPT 5.1 Is the First True AI Worker: Here's What Changed
09403.md	content-creation	design	# Introducing the Upgraded ElevenLabs Mobile App
09404.md	other-ai-tool	economics-investing	# Anthropic, Glean & OpenRouter: How AI Moats Are Built with Deedy Das of Menlo Ventures
09405.md	content-creation	design	# The 4 Levels of Obsidian
09406.md	chatgpt	ai-agents	# ChatGPT Atlas and the next era of web browsing — the OpenAI Podcast Ep. 9
09407.md	design	sn-script	# Fireside Chat w Joshua Browder
09408.md	mcp	other-ai-tool	# Anthropic admits that MCP sucks
09409.md	biology-neuroscience	design	# Texting While ‘Driving’ In A Tesla Is… Allowed? | The Brainstorm EP 109
09410.md	content-creation	sn-script	# 6 Things GPT-5.1 Does Better
09411.md	content-creation	sn-script	# Apps vs Models: Who Wins AI?
09412.md	chatgpt	gemini	# OpenAI Surprise Drops GPT-5.1 But Google Is Lurking
09413.md	content-creation	sn-script	# ‘This Is the War Against Human Nature’ | Interesting Times with Ross Douthat
09414.md	sn-script	content-creation	# How To Fine-Tune A Large Language Model (Step-By-Step)
09415.md	design	economics-investing	# AI Bubble Anxiety On The Rise: Two AI CEOs Weigh In
09416.md	sn-script	ai-agents	# Google Just Pulled a Power Move: VS Code, Colab, and Gemini 3.0
09417.md	content-creation	sn-script	# Defense Tech: Palantir’s Mosley on AI, Warfare, and the End of US Unipolarity
09418.md	sn-script	content-creation	# Figma Make
09419.md	content-creation	sn-system-prompt	# Scientists Found a “Mechanical Flaw”… Then Turned It Into a Superpower
09420.md	design	sn-script	# How to Not Get Fired (and be replaced by AI)
09421.md	sn-script	ai-general	# DGX Spark: Powering EPRI’s AI Research
09422.md	ai-models	design	# What a 100-year-old horse teaches us about AI
09423.md	design	sn-script	# 6 Levels of Building PROFITABLE Software (beginner to god mode)
09424.md	content-creation	biology-evolution	# The Godmother of AI on jobs, robots & why world models are next | Dr. Fei-Fei Li
09425.md	chatgpt	design	# Gemini 3 Just Triggered The Biggest AI Reset Since 2022
09426.md	content-creation	design	# GPT-5.1, AI plays any video game, robot army, AI marriage, new TTS, world models: AI NEWS
09427.md	content-creation	sn-script	# TSMC Arizona: What About the Water?
09428.md	sn-script	content-creation	# GPT 5 Prompt Secrets Unlock Better AI with 2 Tricks
09429.md	content-creation	sn-script	# Why you'll never find the meaning of life
09430.md	infrastructure	ai-models	# The biggest Mystery of LLMs have just been solved
09431.md	design	sn-confirm	# AI Is Slowly Destroying Your Brain
09432.md	content-creation	ai-general	# AGI Is Here: AI Legend Peter Norvig on Why it Doesn't Matter Anymore
09433.md	economics-startups	content-creation	# AI Fund’s GP, Andrew Ng: LLMs as the Next Geopolitical Weapon & Do Margins Still Matter in AI?
09434.md	ai-agents	sn-script	# I Summarized Google's 50 Page AI Agent Paper + Vercel's AI Agent Doc in 8 Minutes: Here's the TLDR
09435.md	ai-agents	content-creation	# NotebookLM just got 10x better… let’s run it
09436.md	content-creation	design	# Embodied General Intelligence: The Prediction No One’s Ready For
09437.md	content-creation	sn-script	# David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #485
09438.md	sn-canon	sn-script	# Palantir Ontology Overview
09439.md	design	content-creation	# AI Costs Plummeting 40x: Why Costs Are Collapsing & What It Really Means w/ Dave, Salim & AWG
09440.md	sn-confirm	sn-script	# Is gpt-5.1 the best code model ever?
09441.md	ai-agents	content-creation	# Anthropic's Monster Projections: Profitable by 2028?
09442.md	mcp	design	# Building your own MCP server with ADK
09443.md	content-creation	design	# How to Go From Beginner to Advanced with AI (Fast)
09444.md	content-creation	ai-models	# xAI's new model is insane...
09445.md	sn-script	content-creation	# What Industry Insiders Say Is Coming in 2026 (No Hype)
09446.md	ai-agents	content-creation	# Welcome to Google Antigravity 🚀
09447.md	gemini	content-creation	# A new era of intelligence with Gemini 3
09448.md	design	gemini	# Gemini 3 is actually insane...
09449.md	sn-script	content-creation	# Building a Startup in The Age of AI | Selecting The Right Market
09450.md	sn-confirm	content-creation	# Google just dropped their Cursor killer (FREE Gemini 3 Pro???)
09451.md	infrastructure	ai-models	# The $2B Company Cutting AI Costs By 60% | Tuhin Srivastava
09452.md	content-creation	economics-investing	# Gemini 3 Anticipation Reaches Fever Pitch
09453.md	content-creation	sn-prompt	# ChatGPT Has a Free Prompt Optimizer — Here's How to Use It
09454.md	ai-agents	claude-code	# Learn the basics of Google Antigravity
09455.md	design	gemini	# Google's Gemini 3.0: The Most Powerful LLM Ever
09456.md	gemini	design	# Gemini 3 Pro - The Model You've Been Waiting For
09457.md	design	economics-investing	# Ben Horowitz & Marc Andreessen: Why Silicon Valley Turned Against Defense (And How We're Fixing It
09458.md	content-creation	sn-script	# Gemini 3 Pro: Breakdown
09459.md	gemini	ai-models	# There Is No Wall: What Gemini 3 Really Means For Your Job
09460.md	economics-investing	sn-script	# Tesla's Elon Musk and Nvidia's Jensen Huang talk AI at U.S.-Saudi Investment Forum — 11/19/25
09461.md	gemini	sn-script	# Gemini 3 PRO in 127 seconds
09462.md	design	gemini	# Gemini Enterprise and the New Way to Work
09463.md	gemini	content-creation	# Gemini 3: Launch day reactions
09464.md	design	sn-script	# Helping a Professional Learn Faster - Private Coaching Call
09465.md	content-creation	sn-script	# The Three Evergreen Laws of Geopolitics - Prof. Jiang Xueqin
09466.md	gemini	content-creation	# Gemini 3 Pro is the best model ever made
09467.md	sn-script	content-creation	# Henry Farrell — AI as a Social Technology
09468.md	gemini	ai-agents	# Build ANYTHING with Gemini 3 | The Agent Factory Podcast
09469.md	gemini	design	# Gemini 3 for Developers
09470.md	content-creation	design	# The Notion note-taking template you'll actually use (full build)
09471.md	ai-agents	ai-models	# The Most Powerful AI Agent Ever Just Got Better: Full Autonomy
09472.md	biology-evolution	content-creation	# Math Suggests We May Be the Only Intelligent Life in the Universe
09473.md	content-creation	sn-script	# The Curious Database Powering America's Hospitals
09474.md	content-creation	sn-system-prompt	# How two superpowers built fundamentally different futures | Dan Wang and Kmele Foster
09475.md	design	sn-architecture	# How Did The Modern World Get So Ugly? - Sheehan Quirke
09476.md	content-creation	design	# Most Companies Fail at AI Because They Skip This First Step
09477.md	chatgpt	content-creation	# How AI is accelerating scientific discovery today and what's ahead — the OpenAI Podcast Ep. 10
09478.md	gemini	sn-confirm	# Gemini Got Beat Already??? (GPT-5.1-Pro is insane)
09479.md	sn-script	content-creation	# What the Luddites Can Teach Us About Societal Response to AI
09480.md	ai-agents	gemini	# Build an AI Agent with Gemini 3
09481.md	ai-agents	design	# Build a Research Agent with Deep Agents
09482.md	ai-models	content-creation	# Google's UNREAL New Nano Banana Pro...
09483.md	ai-agents	design	# AIE CODE Day 2: ft Google Deepmind, Anthropic, Cursor, Netflix, Cline, OpenAI, Meta, and METR
09484.md	gemini	chatgpt	# Google's Nano Banana Pro & Gemini 3 Just Changed Everything!
09485.md	ai-video	design	# Nano Banana Pro is Jaw Dropping: 18 Use-Cases That Were Impossible Before
09486.md	design	ai-models	# Nano Banana Pro… wtf
09487.md	sn-script	chatgpt	# How Nvidia GPUs Compare To Google’s And Amazon’s AI Chips
09488.md	gemini	claude-code	# Did Google just kill OpenAI?
09489.md	design	sn-script	# Forward Future Live | 11/21/25
09490.md	sn-script	content-creation	# How I'm Building a 1-Person AI Business
09491.md	design	gemini	# I Tested Gemini 3 as a Designer. It’s Terrifyingly Good.
09492.md	ai-agents	chatgpt	# More New AI Models! OpenAI Drops 5.1 Pro and Codex Pro
09493.md	chatgpt	content-creation	# Nvidia's Blowout Earnings Pops the AI Bubble Bubble
09494.md	design	content-creation	# What Comes After AI? Some Believe It’s “Coherence Manipulation”
09495.md	content-creation	design	# Emergent Complexity
09496.md	design	sn-script	# How to Learn FASTER With AI - Google NotebookLM
09497.md	design	gemini	# Gemini 3 is nuts...
09498.md	design	content-creation	# AI Update: NVIDIA’s Record Revenue, Elon’s Data Centers in Space & Gemini 3’s Insane Performance
09499.md	content-creation	design	# 25 Things Nano Banana Pro Does That AI Couldn't Before
09500.md	design	sn-pipeline	# Here's the 90 Slide 'AI Eats the World' Talk in 15 Minutes—Plus My Top Takeaways
09501.md	content-creation	codex	# New top AI video models, Google dominates, top 3D model generator, Grok 4.1, GPT-Codex-Max: AI NEW
09502.md	content-creation	sn-script	# Can Superconductors Put an AI Data Center into a Shoebox?
09503.md	ai-models	sn-rosetta	# He Co-Invented the Transformer. Now: Continuous Thought Machines [Llion Jones / Luke Darlow]
09504.md	sn-script	content-creation	# How to Learn And Grow Unbelievably Fast
09505.md	physics-cosmology	content-creation	# Google's Quantum Computer Just Changed Everything!
09506.md	content-creation	economics-investing	# The 2045 Superintelligence Timeline: Epoch AI’s Data-Driven Forecast
09507.md	sn-prompt	prompt-engineering	# Prompting is the Wild West: Here's the Prompt Lifecycle Guide + 19 Tools + a Demo
09508.md	other-ai-tool	sn-script	# Introducing Claude Opus 4.5
09509.md	sn-script	ai-business	# Graphic Cards for AI
09510.md	sn-script	claude-code	# The Thinking Game | Documentary trailer
09511.md	design	other-ai-tool	# Anthropic just dropped Opus 4.5...
09512.md	ai-general	sn-script	# Stanford AI Club: Jeff Dean on Important AI Trends
09513.md	content-creation	design	# Create Anything with Nano Banana Pro, Here’s How
09514.md	gemini	content-creation	# Sundar Pichai: Gemini 3, Vibe Coding and Google's Full Stack Strategy
09515.md	gemini	content-creation	# Gemini 3, Nano Banana, and The Week That Changed AI
09516.md	ai-agents	gemini	# Real World Testing: Opus 4.5 vs. Gemini 3 vs. ChatGPT 5.1
09517.md	content-creation	sn-script	# The Most Important Tech of the Week Isn’t Robots or Disney—It’s Infinity Code
09518.md	content-creation	sn-script	# Stop Feeding AI Context... Make It Research for You
