id,project_id,name,type,status,priority,owner,blocked_by,estimate_hrs,actual_hrs,created,updated,notes
TASK-028,PROJ-001,Fix DIRECTIVE numbering collisions,hygiene,done,P1,Claude_Code_2,null,0.25,0.25,2026-01-05,2026-01-05,DIRECTIVE-038B - 034A/B → 034C/D
TASK-029,PROJ-001,Create execution log template,documentation,done,P2,Claude_Code_2,null,0.5,0.5,2026-01-05,2026-01-05,DIRECTIVE-038B - 01-OPERATIONAL/templates/
TASK-030,PROJ-001,Document GitHub sync in project management,documentation,done,P2,Claude_Code_2,null,0.5,0.5,2026-01-05,2026-01-05,DIRECTIVE-038B - PROJ-010 + BACKLOG update
TASK-031,PROJ-001,Oracle 9 final verification,verification,done,P1,Claude_Code_2,null,0.5,0.5,2026-01-05,2026-01-05,DIRECTIVE-038 combined verification
TASK-032,PROJ-001,DIRECTIVE-039A Phase 1-2 structural,structural,done,P1,Claude_Code_2,null,1.25,1.08,2026-01-05,2026-01-05,state/ flattened; oracle_contexts/ distilled 9→2
TASK-033,PROJ-001,DIRECTIVE-039A Phase 3 processing,processing,done,P1,Claude_Code_2,null,1.5,1.5,2026-01-05,2026-01-05,13 paradigm sources processed and qualified
TASK-034,PROJ-001,DIRECTIVE-039B Phase 1-2 structural,structural,done,P1,Claude_Code_3,null,0.42,0.42,2026-01-05,2026-01-05,ARCHIVE/ scaffolding/ and EXEMPLA/ flattened
TASK-035,PROJ-001,DIRECTIVE-039B Phase 3 processing,processing,done,P1,Claude_Code_3,null,1.5,1.5,2026-01-05,2026-01-05,13 sources processed; 6 CANON integrations
TASK-036,PROJ-001,DIRECTIVE-040A hygiene+ledger,hygiene,done,P1,Claude_Code_2,null,0.75,0.75,2026-01-05,2026-01-05,Root cleanup; all ledgers synchronized; 46 processed files
TASK-037,PROJ-001,DIRECTIVE-040B completion gate,verification,pending,P1,Claude_Code_3,null,1.0,null,2026-01-05,2026-01-05,40+ sources; PROJ-001 complete
TASK-040,PROJ-011,Create CLAUDE.md,infrastructure,done,P0,Claude_Code_2,null,0.5,0.5,2026-01-08,2026-01-08,Constitutional rules deployed at repo root (64 lines)
TASK-041,PROJ-011,Create custom commands,infrastructure,done,P0,Claude_Code_2,TASK-040,0.5,0.5,2026-01-08,2026-01-08,4 commands in .claude/commands/project/
TASK-042,PROJ-011,Create Makefile,infrastructure,done,P0,Claude_Code_2,TASK-040,0.25,0.25,2026-01-08,2026-01-08,5 targets: help verify sync update-ledgers tree clean
TASK-043,PROJ-011,Configure settings,infrastructure,done,P0,Claude_Code_2,TASK-040,0.25,0.25,2026-01-08,2026-01-08,Permission allowlist in .claude/settings.json
TASK-044,PROJ-011,Create MCP configuration,infrastructure,done,P0,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,MCP_SETUP.md and mcp.json.template created
TASK-045,PROJ-011,Create coordination.yaml,infrastructure,done,P0,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,Multi-Claude zone ownership defined with 4 accounts
TASK-046,PROJ-011,Create worktree setup script,infrastructure,done,P0,Claude_Code_3,null,0.25,0.25,2026-01-08,2026-01-08,setup-worktrees.sh executable
TASK-047,PROJ-011,Create automation scripts,infrastructure,done,P0,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,sync_ledgers.py verify_all.sh update_dashboard.py enhanced
TASK-051,null,Oracle 10 closure documentation,documentation,done,P1,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,Final summary and handoff prep
TASK-052,null,Backlog crystallization,planning,done,P1,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,PROJ-012 through PROJ-015 added
TASK-053,null,Update DYN-BACKLOG.md,documentation,done,P1,Claude_Code_3,null,0.25,0.25,2026-01-08,2026-01-08,Comprehensive backlog refresh
TASK-048,null,Root pollution cleanup,hygiene,done,P1,Claude_Code_2,null,0.25,0.25,2026-01-08,2026-01-08,Relocated 6 files from root (directives + oracle contexts)
TASK-049,null,Research artifact protocol,documentation,done,P1,Claude_Code_2,null,0.5,0.5,2026-01-08,2026-01-08,REF-RESEARCH_ARTIFACTS.md + cleanup_root.sh
TASK-050,null,Major restructuring commit,structural,done,P1,Claude_Code_2,null,0.5,0.5,2026-01-08,2026-01-08,537 files migrated to new numbering scheme
