id,project_id,name,type,status,priority,owner,blocked_by,estimate_hrs,actual_hrs,created,updated,notes
TASK-028,PROJ-001,Fix DIRECTIVE numbering collisions,hygiene,done,P1,Claude_Code_2,null,0.25,0.25,2026-01-05,2026-01-05,DIRECTIVE-038B - 034A/B → 034C/D
TASK-029,PROJ-001,Create execution log template,documentation,done,P2,Claude_Code_2,null,0.5,0.5,2026-01-05,2026-01-05,DIRECTIVE-038B - 01-OPERATIONAL/templates/
TASK-030,PROJ-001,Document GitHub sync in project management,documentation,done,P2,Claude_Code_2,null,0.5,0.5,2026-01-05,2026-01-05,DIRECTIVE-038B - PROJ-010 + BACKLOG update
TASK-031,PROJ-001,Oracle 9 final verification,verification,done,P1,Claude_Code_2,null,0.5,0.5,2026-01-05,2026-01-05,DIRECTIVE-038 combined verification
TASK-032,PROJ-001,DIRECTIVE-039A Phase 1-2 structural,structural,done,P1,Claude_Code_2,null,1.25,1.08,2026-01-05,2026-01-05,state/ flattened; oracle_contexts/ distilled 9→2
TASK-033,PROJ-001,DIRECTIVE-039A Phase 3 processing,processing,done,P1,Claude_Code_2,null,1.5,1.5,2026-01-05,2026-01-05,13 paradigm sources processed and qualified
TASK-034,PROJ-001,DIRECTIVE-039B Phase 1-2 structural,structural,done,P1,Claude_Code_3,null,0.42,0.42,2026-01-05,2026-01-05,ARCHIVE/ scaffolding/ and EXEMPLA/ flattened
TASK-035,PROJ-001,DIRECTIVE-039B Phase 3 processing,processing,done,P1,Claude_Code_3,null,1.5,1.5,2026-01-05,2026-01-05,13 sources processed; 6 CANON integrations
TASK-036,PROJ-001,DIRECTIVE-040A hygiene+ledger,hygiene,done,P1,Claude_Code_2,null,0.75,0.75,2026-01-05,2026-01-05,Root cleanup; all ledgers synchronized; 46 processed files
TASK-037,PROJ-001,DIRECTIVE-040B completion gate,verification,pending,P1,Claude_Code_3,null,1.0,null,2026-01-05,2026-01-05,40+ sources; PROJ-001 complete
TASK-040,PROJ-011,Create CLAUDE.md,infrastructure,done,P0,Claude_Code_2,null,0.5,0.5,2026-01-08,2026-01-08,Constitutional rules deployed at repo root (64 lines)
TASK-041,PROJ-011,Create custom commands,infrastructure,done,P0,Claude_Code_2,TASK-040,0.5,0.5,2026-01-08,2026-01-08,4 commands in .claude/commands/project/
TASK-042,PROJ-011,Create Makefile,infrastructure,done,P0,Claude_Code_2,TASK-040,0.25,0.25,2026-01-08,2026-01-08,5 targets: help verify sync update-ledgers tree clean
TASK-043,PROJ-011,Configure settings,infrastructure,done,P0,Claude_Code_2,TASK-040,0.25,0.25,2026-01-08,2026-01-08,Permission allowlist in .claude/settings.json
TASK-044,PROJ-011,Create MCP configuration,infrastructure,done,P0,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,MCP_SETUP.md and mcp.json.template created
TASK-045,PROJ-011,Create coordination.yaml,infrastructure,done,P0,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,Multi-Claude zone ownership defined with 4 accounts
TASK-046,PROJ-011,Create worktree setup script,infrastructure,done,P0,Claude_Code_3,null,0.25,0.25,2026-01-08,2026-01-08,setup-worktrees.sh executable
TASK-047,PROJ-011,Create automation scripts,infrastructure,done,P0,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,sync_ledgers.py verify_all.sh update_dashboard.py enhanced
TASK-051,null,Oracle 10 closure documentation,documentation,done,P1,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,Final summary and handoff prep
TASK-052,null,Backlog crystallization,planning,done,P1,Claude_Code_3,null,0.5,0.5,2026-01-08,2026-01-08,PROJ-012 through PROJ-015 added
TASK-053,null,Update DYN-BACKLOG.md,documentation,done,P1,Claude_Code_3,null,0.25,0.25,2026-01-08,2026-01-08,Comprehensive backlog refresh
TASK-048,null,Root pollution cleanup,hygiene,done,P1,Claude_Code_2,null,0.25,0.25,2026-01-08,2026-01-08,Relocated 6 files from root (directives + oracle contexts)
TASK-049,null,Research artifact protocol,documentation,done,P1,Claude_Code_2,null,0.5,0.5,2026-01-08,2026-01-08,REF-RESEARCH_ARTIFACTS.md + cleanup_root.sh
TASK-050,null,Major restructuring commit,structural,done,P1,Claude_Code_2,null,0.5,0.5,2026-01-08,2026-01-08,537 files migrated to new numbering scheme
TASK-053,PROJ-012,Test Gemini CLI basic operations,task,blocked,P2,Claude_Code,null,1,0.5,2026-01-09,2026-01-09,BLOCKED: Gemini CLI not installed on system
TASK-054,PROJ-012,Draft GEMINI.md,task,not_started,P2,Claude_Code,TASK-053,0.5,null,2026-01-09,2026-01-09,DIRECTIVE-043A Phase 2 - blocked by TASK-053
TASK-055,null,Restore system prompt ground truth,task,done,P0,Claude_Code,null,0.5,0.25,2026-01-09,2026-01-09,Phase 1 - synthesis files restored; backups created
TASK-056,null,Complete queue disposition,task,done,P3,Claude_Code,null,0.5,0.25,2026-01-09,2026-01-09,Phase 3 - modal1 cleared; modal2 unchanged
TASK-057,PROJ-016,Create skills/claude/ directory structure,task,not_started,P3,Claude_Code,null,0.5,null,2026-01-09,2026-01-09,Deferred to Oracle 12+
TASK-058,PROJ-016,Convert transcribe_youtube.xml to Skill,task,not_started,P3,Claude_Code,TASK-057,1,null,2026-01-09,2026-01-09,Deferred to Oracle 12+
TASK-059,PROJ-016,Convert transcribe_interview.xml to Skill,task,not_started,P3,Claude_Code,TASK-057,1,null,2026-01-09,2026-01-09,Deferred to Oracle 12+
TASK-060,PROJ-016,Convert integrate.xml to Skill,task,not_started,P3,Claude_Code,TASK-057,1,null,2026-01-09,2026-01-09,Deferred to Oracle 12+
TASK-061,PROJ-016,Convert readize.xml to Skill,task,not_started,P3,Claude_Code,TASK-057,0.5,null,2026-01-09,2026-01-09,Deferred to Oracle 12+
TASK-062,PROJ-016,Convert listenize.xml to Skill,task,not_started,P3,Claude_Code,TASK-057,0.5,null,2026-01-09,2026-01-09,Deferred to Oracle 12+
TASK-063,null,Document methodology,task,done,P3,Claude_Code,null,0.5,0.25,2026-01-09,2026-01-09,Phase 5 - REF-METHODOLOGY.md created
TASK-064,PROJ-002,CANON reconnaissance - 8 IIC documents,research,done,P1,Claude_Code,null,2,1.5,2026-01-09,2026-01-09,DIRECTIVE-043B Phase 1 - 14500+ lines reviewed
TASK-065,PROJ-002,Memory architecture decisions,planning,done,P1,Claude_Code,TASK-064,1,0.5,2026-01-09,2026-01-09,DIRECTIVE-043B Phase 2 - Seven strata mapped to 4 platforms
TASK-066,PROJ-002,Acumen memory config artifact,documentation,done,P1,Claude_Code,TASK-065,1,0.75,2026-01-09,2026-01-09,DIRECTIVE-043B Phase 3 - 02-OPERATIONAL/memory/acumen-memory-config.md
TASK-067,PROJ-014,Multi-account sync protocol,documentation,done,P1,Claude_Code,null,1,0.5,2026-01-09,2026-01-09,DIRECTIVE-043B Phase 4 - REF-MULTI_ACCOUNT_SYNC.md created
TASK-068,PROJ-002,Ledger updates,hygiene,done,P1,Claude_Code,TASK-067,0.25,0.25,2026-01-09,2026-01-09,DIRECTIVE-043B Phase 5 - projects.csv + tasks.csv updated
TASK-069,PROJ-002,Create SCAFF deliverable,documentation,done,P1,Claude_Code,TASK-068,0.5,0.5,2026-01-09,2026-01-09,DIRECTIVE-043B Phase 6 - SCAFF-IIC_RECONNAISSANCE.md
TASK-070,PROJ-012,Create GEMINI.md context file,infrastructure,done,P1,Claude_Code_2,null,0.5,0.25,2026-01-09,2026-01-09,DIRECTIVE-042B - Syncrescendence-adapted for Gemini CLI
TASK-071,PROJ-012,Create gemini-settings.json template,infrastructure,done,P2,Claude_Code_2,null,0.25,0.1,2026-01-09,2026-01-09,DIRECTIVE-042B - MCP and model configuration
TASK-072,PROJ-012,Create multi-CLI coordination protocol,documentation,done,P1,Claude_Code_2,null,0.5,0.25,2026-01-09,2026-01-09,DIRECTIVE-042B - REF-MULTI_CLI_COORDINATION.md
TASK-073,null,Clean up root-level extracted files,hygiene,done,P2,Claude_Code_2,null,0.1,0.05,2026-01-09,2026-01-09,DIRECTIVE-042B - 8 duplicate files removed from root
TASK-074,PROJ-012,Validate Gemini CLI operations,task,done,P2,Gemini_CLI,null,0.5,0.5,2026-01-09,2026-01-09,Result: APPROVED
TASK-075,PROJ-002,Create Acumen IIC configuration,task,done,P1,Claude_Code_1,null,1.5,0.75,2026-01-09,2026-01-09,DIRECTIVE-042A - Full account spec 600 lines
TASK-076,PROJ-002,Create Coherence IIC configuration,task,done,P1,Claude_Code_1,null,1.5,0.75,2026-01-09,2026-01-09,DIRECTIVE-042A - Full account spec 550 lines
TASK-077,PROJ-002,Create IIC shared protocols,task,done,P1,Claude_Code_1,null,0.5,0.5,2026-01-09,2026-01-09,DIRECTIVE-042A - Integration standards 500 lines
TASK-078,null,Reclassify AI_Academic_Research.md,hygiene,done,P2,Claude_Code_3,null,0.1,0.05,2026-01-09,2026-01-09,DIRECTIVE-042C - Moved from modal2 to 02-OPERATIONAL/surveys/
TASK-079,null,Refresh DYN-BACKLOG.md,documentation,done,P2,Claude_Code_3,null,0.5,0.25,2026-01-09,2026-01-09,DIRECTIVE-042C - Complete state refresh for Oracle 11 Blitzkrieg
TASK-080,PROJ-012,Create CANON-25200 Constellation Architecture,canon,done,P0,Claude_Code_2,null,1.0,0.75,2026-01-11,2026-01-11,DIRECTIVE-043A Phase 1 - Full 5-platform specification
TASK-081,PROJ-012,Update CANON-25100 with Oracle Pedigree,canon,done,P0,Claude_Code_2,TASK-080,0.5,0.25,2026-01-11,2026-01-11,DIRECTIVE-043A Phase 1 - New PART IX added
TASK-082,PROJ-012,Create ARCH-INTENTION_COMPASS.md,architecture,done,P0,Claude_Code_2,null,1.0,0.5,2026-01-11,2026-01-11,DIRECTIVE-043A Phase 2 - Full Oracle 0-12 extraction
TASK-083,PROJ-012,Update coordination.yaml for constellation,infrastructure,done,P1,Claude_Code_2,null,0.25,0.25,2026-01-11,2026-01-11,DIRECTIVE-043A Phase 3 - v2.0 with ChatGPT and routing
TASK-084,null,Archive research documents,hygiene,done,P0,Claude_Code_3,null,0.5,0.5,2026-01-11,2026-01-11,DIRECTIVE-043B - 4 docs archived (cognitive_profile frontier_models platform_features reconnaissance)
TASK-085,null,Repository hygiene - orphan files,hygiene,done,P1,Claude_Code_3,TASK-084,0.5,0.25,2026-01-11,2026-01-11,DIRECTIVE-043B - 11 orphan files relocated to proper directories
TASK-086,null,SCAFF metabolism assessment,assessment,done,P2,Claude_Code_3,TASK-085,0.25,0.1,2026-01-11,2026-01-11,DIRECTIVE-043B - 18 SCAFF files assessed; retained as audit trail
TASK-087,null,Create DIRECTIVE-043B execution log,documentation,done,P1,Claude_Code_3,TASK-086,0.25,0.25,2026-01-11,2026-01-11,DIRECTIVE-043B - Phase 5 completion
TASK-090,PROJ-012,Formalize model specification protocol in CLAUDE.md,task,done,P2,Claude_Code,null,0.5,0.5,2026-01-11,2026-01-11,Blitzkrieg 44
TASK-091,PROJ-012,Add model routing to coordination.yaml,task,done,P2,Claude_Code,TASK-090,0.5,0.5,2026-01-11,2026-01-11,Blitzkrieg 44
TASK-095,PROJ-016,Create intentions.md Skill,skill,done,P2,Claude_Code_3,null,0.5,0.5,2026-01-12,2026-01-12,Blitzkrieg 45 - Intention extraction skill
TASK-096,PROJ-016,Create pedigree.md Skill,skill,done,P2,Claude_Code_3,TASK-095,0.5,0.5,2026-01-12,2026-01-12,Blitzkrieg 45 - Oracle pedigree skill
TASK-097,PROJ-012,Resolve INT-1210-1213 per Tech Tree Audit,task,done,P2,Claude_Code_2,null,0.25,0.25,2026-01-12,2026-01-12,Blitzkrieg 45 - All 4 intentions marked resolved based on ARCH-TECH_TREE_AUDIT.md and DIRECTIVE-044B
TASK-098,PROJ-001,CANON SN Conversion (bulk) - Lane A,task,done,P0,Claude_Code,null,1.5,1.0,2026-01-23,2026-01-23,82 CANON files converted to SN drafts. 53% compression (348K→164K words).
TASK-099,PROJ-001,CANON SN Audit + Finalization,task,done,P0,Claude_Code,TASK-098,1.5,1.0,2026-01-23,2026-01-24,Claude takeover from Gemini. SN finalized. Originals backed to 05-MEMORY/canon-pre-sn/.
TASK-100,PROJ-001,Sovereign Terminology Cascade,task,done,P0,Claude_Code,null,0.25,0.25,2026-01-24,2026-01-24,Principal → Sovereign throughout corpus. Philosophical alignment.
TASK-101,PROJ-001,Obsidian Backlinks Implementation,task,done,P2,Claude_Code,null,0.5,0.5,2026-01-24,2026-01-24,Fixed script. Added [[CANON-XXXXX]] wiki-links across CANON ENGINE ORCHESTRATION.
