file,original_words,converted_words,compression_pct,status
CANON-30300-TECH_STACK-comet-INTELLIGENCE.md,5281,3293,40.0,success
CANON-30310-MIGRATION-asteroid-TECH_STACK-comet-INTELLIGENCE.md,3395,1556,60.0,success
CANON-30320-WORKFLOW_INTEL-asteroid-TECH_STACK-comet-INTELLIGENCE.md,3218,2377,30.0,success
CANON-30330-RESEARCH_PROTOCOLS-asteroid-TECH_STACK-comet-INTELLIGENCE.md,1534,1367,20.0,success
CANON-30340-IMPLEMENTATION_PATTERNS-asteroid-TECH_STACK-comet-INTELLIGENCE.md,1845,1760,10.0,success
CANON-30400-AGENTIC_ARCHITECTURE-comet-INTELLIGENCE.md,2883,2351,20.0,success
CANON-30410-COGNITIVE_ARCHITECTURE-asteroid-INTELLIGENCE.md,1309,890,40.0,success
CANON-30420-MULTI_AGENT_ORCHESTRATION-asteroid-INTELLIGENCE.md,1986,1711,20.0,success
CANON-30430-MEMORY_SYSTEMS-asteroid-INTELLIGENCE.md,1536,1230,20.0,success
CANON-30440-SAFETY_ALIGNMENT-asteroid-INTELLIGENCE.md,1780,1412,30.0,success
CANON-30450-PRODUCTION_FRAMEWORKS-asteroid-INTELLIGENCE.md,2003,1558,30.0,success
CANON-30460-INTERACTION_DYNAMICS-comet.md,5267,3624,40.0,success
CANON-31000-INFORMATION-chain.md,636,496,30.0,success
CANON-31100-ACUMEN-planetary-INFORMATION.md,6528,2336,70.0,success
CANON-31110-FEEDCRAFT-lunar-ACUMEN-planetary-INFORMATION.md,7164,2094,80.0,success
CANON-31115-IIC_IMPL-lunar-ACUMEN-planetary-INFORMATION.md,10202,5658,50.0,success
CANON-31120-TONE_LIBRARY-lunar-ACUMEN-planetary-INFORMATION.md,9182,4252,60.0,success
CANON-31121-TONE_TAXONOMY-satellite-TONE_LIBRARY-lunar-ACUMEN-planetary-INFORMATION.md,2323,2744,-10.0,success
CANON-31122-RHETORICAL-satellite-TONE_LIBRARY-lunar-ACUMEN-planetary-INFORMATION.md,3229,1499,60.0,success
CANON-31130-SEVEN_LAYER-lunar-ACUMEN-planetary-INFORMATION.md,11407,2618,80.0,success
CANON-31140-IIC-lunar-ACUMEN-planetary-INFORMATION.md,7402,4738,40.0,success
CANON-31141-FIVE_ACCOUNT-satellite-IIC-lunar-ACUMEN-planetary-INFORMATION.md,15041,7861,50.0,success
CANON-31142-PLATFORM_GRAMMAR-satellite-IIC-lunar-ACUMEN-planetary-INFORMATION.md,13293,5505,60.0,success
CANON-31143-FEED_CURATION-satellite-IIC-lunar-ACUMEN-planetary-INFORMATION.md,15143,2842,90.0,success
CANON-31150-PLATFORM_CAPABILITY_CATALOG.md,1584,1356,20.0,success
CANON-32000-INSIGHT-chain.md,706,552,30.0,success
CANON-32100-COHERENCE-planetary-INSIGHT.md,1758,1094,40.0,success
CANON-32110-COHERENCE_SYS-lunar-COHERENCE-planetary-INSIGHT.md,1910,845,60.0,success
CANON-32120-META_ANALYSIS-lunar-COHERENCE-planetary-INSIGHT.md,5301,4220,30.0,success
CANON-33000-EXPERTISE-chain.md,872,639,30.0,success
CANON-33100-EFFICACY-planetary-EXPERTISE.md,1788,1169,40.0,success
CANON-33110-BIZ_BACKBONE-lunar-EFFICACY-planetary-EXPERTISE.md,1325,921,40.0,success
CANON-33111-BIZ_ENHANCE-satellite-BIZ_BACKBONE-lunar-EFFICACY-planetary-EXPERTISE.md,4167,2125,50.0,success
CANON-33112-REVENUE_MODEL-satellite-BIZ_BACKBONE-lunar-EFFICACY-planetary-EXPERTISE.md,1265,1041,20.0,success
CANON-34000-KNOWLEDGE-chain.md,1025,773,30.0,success
CANON-34100-MASTERY-planetary-KNOWLEDGE.md,1755,1103,40.0,success
CANON-34110-CURRICULUM-lunar-MASTERY-planetary-KNOWLEDGE.md,6565,3263,60.0,success
CANON-34120-SYLLABUS-lunar-MASTERY-planetary-KNOWLEDGE.md,5273,1346,80.0,success
CANON-35000-WISDOM-chain.md,1199,910,30.0,success
CANON-35100-TRANSCENDENCE-ring-WISDOM.md,1773,1163,40.0,success
CANON-35110-TRANS_SYSTEM-lunar-TRANSCENDENCE-ring-WISDOM.md,2199,837,70.0,success
CANON-35120-NEURODIVERGENT-lunar-TRANSCENDENCE-ring-WISDOM.md,7434,2664,70.0,success
CANON-35121-NEURODIVERGENT_PATTERNS-satellite-NEURODIVERGENT-lunar-TRANSCENDENCE-ring-WISDOM.md,1499,1579,0,success
CANON-35200-GAIAN_NODE-lunar-TRANSCENDENCE-ring-WISDOM.md,7005,2330,70.0,success
CANON-35210-METAHUMANISM-lunar-TRANSCENDENCE-ring-WISDOM.md,1349,1295,10.0,success
CANON-99000-HISTORICAL-meta.md,5381,2511,60.0,success
