id,name,type,status,priority,owner,blocked_by,oracle_scope,modal,due_date,created,updated,notes
PROJ-016,Skills Conversion,initiative,complete,P3,Oracle13+,null,13+,modal1,null,2026-01-09,2026-02-02,COMPLETE: 7/7 skills (intentions; pedigree; transcribe_youtube; transcribe_interview; integrate; readize; listenize)
PROJ-RESTRUCTURE,Wholesale Restructure,sprint,complete,P0,Oracle13,null,13,modal1,null,2026-01-22,2026-02-01,COMPLETE: 1267→550 files; 8→5 dirs; 9 phases
PROJ-AVATARS,Avatar Pantheon v3,sprint,complete,P0,Oracle13,null,13,modal1,null,2026-01-26,2026-02-01,COMPLETE: 10 avatars (Gemini bifurcated); Pantheon v3
PROJ-SN-VARS,SN Variable System,sprint,complete,P0,Oracle13,null,13,modal1,null,2026-01-28,2026-02-01,COMPLETE: 9 DEF blocks; sn_expand.py built and tested
PROJ-ACCT,Account Restructure,sprint,complete,P0,Oracle13,null,13,modal1,null,2026-01-27,2026-02-01,COMPLETE: A1=Max+Plus; A2=Pro+AIPro; A3=Unpaid
PROJ-NEO-BLITZ,Neo-Blitzkrieg Buildout,sprint,complete,P0,Oracle13,null,13,modal1,null,2026-01-28,2026-02-02,COMPLETE: all automation operational; AGENTS.md expanded; watch_dispatch.sh processing hooks live; branch deleted
PROJ-TERMINOLOGY,Terminology Sweep,sprint,complete,P0,Oracle13,null,13,modal1,null,2026-02-01,2026-02-01,COMPLETE: Deviser→Vanguard across 15 files; Rosetta Stone v2.1.0
PROJ-CANON-LEAN,CANON Lean-Out,sprint,complete,P1,Oracle13,null,13,modal1,null,2026-02-01,2026-02-01,COMPLETE: 3 pairs merged (82→79 CANON files)
PROJ-SIGMA-AUDIT,05-SIGMA Deep Audit,sprint,complete,P0,Oracle13,null,13,modal1,null,2026-02-01,2026-02-01,COMPLETE: 43→16 files (63% reduction); 5761 lines deleted
PROJ-ORCH-AUDIT,00-ORCHESTRATION Deep Audit,sprint,complete,P0,Oracle13,null,13,modal1,null,2026-02-01,2026-02-02,COMPLETE: 142→30 files (79% reduction); state/ archive/ annealed
PROJ-ENGINE-AUDIT,02-ENGINE Deep Audit,sprint,complete,P0,Oracle13,null,13,modal1,null,2026-02-01,2026-02-01,COMPLETE: 114→76 files (33% reduction); 32 deleted; 6 to research
PROJ-RESEARCH,Research Pipeline,initiative,not_started,P2,TBD,null,TBD,modal1,null,2026-02-01,2026-02-02,Gemini CLI; Codex CLI; OpenClaw consensus research
PROJ-LINEAR,Linear Onboarding,initiative,not_started,P2,TBD,null,TBD,modal1,null,2026-02-01,2026-02-02,PM tool for backlog management
PROJ-LIVE-CANON,Live CANON Ticker,initiative,in_progress,P1,Oracle13+,null,13+,modal1,null,2026-02-01,2026-02-02,60%: MVP deployed (DYN-TICKER_FEED.md; FIDS board; economics table); automation + CANON integration pending
PROJ-DESKTOP,Desktop Metabolization,initiative,in_progress,P1,Oracle13,null,13,modal1,null,2026-01-30,2026-02-02,85%: P0-P1 complete; P2 meta_narrative ingested; Coherence/ deferred (193 files)
