cluster_id,action,pool,filepath,size_bytes,has_frontmatter,url,reason
5,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/01-openclaw-architecture-setup/20260204-x_article-kimi_x_openclaw_the_simplest_setup_yet-@kimiproduct.md,4399,True,https://x.com/KimiProduct/status/2018989483258183742,filename+url
6,keep,A,/Users/system/Desktop/research/20260211-x_article-abundance_or_collapse_the_fork_in_the_road_for_ai_robotics_and_civilization-@farzyness.md,37063,True,https://x.com/farzyness/status/2021592242821968114,filename+url
6,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/07-economic-reckoning-saas-labor-society/20260211-x_article-abundance_or_collapse_the_fork_in_the_road_for_ai_robotics_and_civilization-@farzyness.md,37063,True,https://x.com/farzyness/status/2021592242821968114,filename+url
7,keep,A,/Users/system/Desktop/research/20260209-x_article-claude_code_told_me_everything_im_doing_wrong_then_it_built_three_agents_to_fix_it-@tomcrawshaw01.md,11534,True,https://x.com/tomcrawshaw01/status/2020866308230009189,filename+url
7,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/06-multi-agent-orchestration-swarms/20260209-x_article-claude_code_told_me_everything_im_doing_wrong_then_it_built_three_agents_to_fix_it-@tomcrawshaw01.md,11534,True,https://x.com/tomcrawshaw01/status/2020866308230009189,filename+url
8,keep,A,/Users/system/Desktop/research/20260116-x_article-the_complete_guide_lovable_for_slide_decks-@armanhezarkhani.md,22270,True,https://x.com/ArmanHezarkhani/status/2012224841374486998,filename+url
8,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/09-design-in-ai-era/20260116-x_article-the_complete_guide_lovable_for_slide_decks-@armanhezarkhani.md,22270,True,https://x.com/ArmanHezarkhani/status/2012224841374486998,filename+url
8,delete,C,/Users/system/Desktop/NotebookLM Pipeline -Sources/vibe-coding-design/20260116-x_article-the_complete_lovable_presentation_guide-@armanhezarkhani.md,22240,True,https://x.com/ArmanHezarkhani/status/2012224841374486998,filename+url
9,keep,A,/Users/system/Desktop/research/20260206-x_article-what_designers_are_missing_about_claude_code-@froessell.md,5035,True,https://x.com/froessell/status/2019743782632091990,filename+url
9,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/09-design-in-ai-era/20260206-x_article-what_designers_are_missing_about_claude_code-@froessell.md,5035,True,https://x.com/froessell/status/2019743782632091990,filename+url
10,keep,A,/Users/system/Desktop/research/20260131-x_article-agentic_personal_knowledge_management_with_openclaw_para_and_qmd-@nateliason.md,14463,True,https://x.com/nateliason/status/2017636775347331276,filename+url
10,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/03-agent-memory-systems/20260131-x_article-agentic_personal_knowledge_management_with_openclaw_para_and_qmd-@nateliason.md,14463,True,https://x.com/nateliason/status/2017636775347331276,filename+url
11,keep,A,/Users/system/Desktop/research/20260210-x_article-your_company_is_a_filesystem-@mernit.md,3697,True,https://x.com/mernit/status/2021324284875153544,filename+url
11,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/03-agent-memory-systems/20260210-x_article-your_company_is_a_filesystem-@mernit.md,3697,True,https://x.com/mernit/status/2021324284875153544,filename+url
12,keep,A,/Users/system/Desktop/research/20260205-x_article-getting_the_most_out_of_opus_4_6-@rlancemartin.md,5306,True,https://x.com/RLanceMartin/status/2019482019324219477,filename+url
12,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/05-claude-code-cowork-power-patterns/20260205-x_article-getting_the_most_out_of_opus_4_6-@rlancemartin.md,5306,True,https://x.com/RLanceMartin/status/2019482019324219477,filename+url
13,keep,A,/Users/system/Desktop/research/20260209-x_article-how_to_build_an_ai_agent_army_with_claude_skills-@yjstacked.md,28297,True,https://x.com/YJstacked/status/2020784187582931292,filename+url
13,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/06-multi-agent-orchestration-swarms/20260209-x_article-how_to_build_an_ai_agent_army_with_claude_skills-@yjstacked.md,28297,True,https://x.com/YJstacked/status/2020784187582931292,filename+url
14,keep,A,/Users/system/Desktop/research/20260126-x_article-how_to_set_up_clawdbot_as_your_ultimate_personal_assistant-@theaicolonyrd.md,11694,True,https://x.com/TheAIColonyRD/status/2015775367277977989,filename+url
14,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/01-openclaw-architecture-setup/20260126-x_article-how_to_set_up_clawdbot_as_your_ultimate_personal_assistant-@theaicolonyrd.md,11694,True,https://x.com/TheAIColonyRD/status/2015775367277977989,filename+url
15,keep,A,/Users/system/Desktop/research/20260209-x_article-i_gave_openclaw_access_to_my_browser_email_and_ad_accounts-@ronakkadhi.md,5453,True,https://x.com/ronakkadhi/status/2020897035919176092,filename+url
15,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/01-openclaw-architecture-setup/20260209-x_article-i_gave_openclaw_access_to_my_browser_email_and_ad_accounts-@ronakkadhi.md,5453,True,https://x.com/ronakkadhi/status/2020897035919176092,filename+url
16,keep,A,/Users/system/Desktop/research/20260204-x_article-10_more_clawdbot_setups_that_made_me_say_wait_it_can_do_that-@ganimcorey.md,4625,True,https://x.com/GanimCorey/status/2019058134598221886,filename+url
16,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/01-openclaw-architecture-setup/20260204-x_article-10_more_clawdbot_setups_that_made_me_say_wait_it_can_do_that-@ganimcorey.md,4625,True,https://x.com/GanimCorey/status/2019058134598221886,filename+url
17,keep,A,/Users/system/Desktop/research/20260206-x_article-how_to_stop_feeling_behind_in_ai-@exm7777.md,11883,True,https://x.com/EXM7777/status/2019787951530725396,filename+url
17,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/14-philosophical-wildcards-cultural-commentary/20260206-x_article-how_to_stop_feeling_behind_in_ai-@exm7777.md,11883,True,https://x.com/EXM7777/status/2019787951530725396,filename+url
18,keep,A,/Users/system/Desktop/research/20260208-x_article-agentic_note_taking_06_from_memory_to_attention-@molt_cornelius.md,5107,True,https://x.com/molt_cornelius/status/2020616262217601027,filename+url
18,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/03-agent-memory-systems/20260208-x_article-agentic_note_taking_06_from_memory_to_attention-@molt_cornelius.md,5107,True,https://x.com/molt_cornelius/status/2020616262217601027,filename+url
19,keep,A,/Users/system/Desktop/research/20260129-x_article-clawdbot_battle_of_the_agents_parallel_vs_sub_agents-@dansemperepico.md,5590,True,https://x.com/dansemperepico/status/2016953453638267002,filename+url
19,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/06-multi-agent-orchestration-swarms/20260129-x_article-clawdbot_battle_of_the_agents_parallel_vs_sub_agents-@dansemperepico.md,5590,True,https://x.com/dansemperepico/status/2016953453638267002,filename+url
20,keep,A,/Users/system/Desktop/research/20260205-x_article-lulubot_takeaways_1_week_of_building_and_using_my_openclaw-@jacalulu.md,24526,True,https://x.com/jacalulu/status/2019529992951198073,filename+url
20,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/06-multi-agent-orchestration-swarms/20260205-x_article-lulubot_takeaways_1_week_of_building_and_using_my_openclaw-@jacalulu.md,24526,True,https://x.com/jacalulu/status/2019529992951198073,filename+url
21,keep,A,/Users/system/Desktop/research/20260205-x_article-how_do_you_build_a_context_graph-@jainarvind.md,14165,True,https://x.com/jainarvind/status/2019553277571190821,filename+url
21,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/03-agent-memory-systems/20260205-x_article-how_do_you_build_a_context_graph-@jainarvind.md,14165,True,https://x.com/jainarvind/status/2019553277571190821,filename+url
22,keep,A,/Users/system/Desktop/research/20260126-x_article-securing_clawdbot_on_a_vps_with_cloudflare_tunnel_access_ssh_hardening-@fakenine_.md,9114,True,https://x.com/fakenine_/status/2015925432718155860,filename+url
22,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/02-agent-security-hardening/20260126-x_article-securing_clawdbot_on_a_vps_with_cloudflare_tunnel_access_ssh_hardening-@fakenine_.md,9114,True,https://x.com/fakenine_/status/2015925432718155860,filename+url
23,keep,A,/Users/system/Desktop/research/20260209-x_thread-everyones_building_prompt_libraries-@exm7777.md,562,True,https://x.com/EXM7777/status/2020944295616991677,filename+url
23,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/13-prompt-engineering-skills-craft/20260209-x_thread-everyones_building_prompt_libraries-@exm7777.md,562,True,https://x.com/EXM7777/status/2020944295616991677,filename+url
24,keep,A,/Users/system/Desktop/research/20260206-x_article-ai_business_ideas_nobody_is_building_yet-@zephyr_hg.md,5454,True,https://x.com/Zephyr_hg/status/2019835315897168263,filename+url
24,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/07-economic-reckoning-saas-labor-society/20260206-x_article-ai_business_ideas_nobody_is_building_yet-@zephyr_hg.md,5454,True,https://x.com/Zephyr_hg/status/2019835315897168263,filename+url
25,keep,A,/Users/system/Desktop/research/20260208-x_article-how_claude_skills_turned_me_into_a_100x_developer_without_writing_more_code-@ihtesham2005.md,16285,True,https://x.com/ihtesham2005/status/2020534925934641200,filename+url
25,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/05-claude-code-cowork-power-patterns/20260208-x_article-how_claude_skills_turned_me_into_a_100x_developer_without_writing_more_code-@ihtesham2005.md,16285,True,https://x.com/ihtesham2005/status/2020534925934641200,filename+url
26,keep,A,/Users/system/Desktop/research/20260203-x_article-claude_code_guide_for_designers-@felixleezd.md,11751,True,https://x.com/felixleezd/status/2018728056249254377,filename+url
26,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/05-claude-code-cowork-power-patterns/20260203-x_article-claude_code_guide_for_designers-@felixleezd.md,11751,True,https://x.com/felixleezd/status/2018728056249254377,filename+url
26,delete,C,/Users/system/Desktop/NotebookLM Pipeline -Sources/claude-code/20260203-x_article-claude_code_guide_for_designers-@felixleezd.md,6834,True,https://x.com/felixleezd/status/2018728056249254377,filename+url
27,keep,A,/Users/system/Desktop/research/20260204-x_article-the_crumbling_workflow_moat_aggregation_theory_final_chapter-@nicbstme.md,18129,True,https://x.com/nicbstme/status/2019149771706102022,filename+url
27,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/07-economic-reckoning-saas-labor-society/20260204-x_article-the_crumbling_workflow_moat_aggregation_theory_final_chapter-@nicbstme.md,18129,True,https://x.com/nicbstme/status/2019149771706102022,filename+url
28,keep,A,/Users/system/Desktop/research/20260202-x_article-the_new_design_process-@tomjohndesign.md,13358,True,https://x.com/tomjohndesign/status/2018385296610746403,filename+url
28,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/09-design-in-ai-era/20260202-x_article-the_new_design_process-@tomjohndesign.md,13358,True,https://x.com/tomjohndesign/status/2018385296610746403,filename+url
28,delete,C,/Users/system/Desktop/NotebookLM Pipeline -Sources/vibe-coding-design/20260204-x_article-the_new_design_process-@tomjohndesign.md,13326,True,https://x.com/tomjohndesign/status/2018385296610746403,filename+url
29,keep,A,/Users/system/Desktop/research/20260205-x_article-introducing_universal_context-@byteofbits.md,10457,True,https://x.com/byteofbits/status/2019447660864807345,filename+url
29,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/03-agent-memory-systems/20260205-x_article-introducing_universal_context-@byteofbits.md,10457,True,https://x.com/byteofbits/status/2019447660864807345,filename+url
30,keep,A,/Users/system/Desktop/research/20260108-x_article-the_most_important_skill_to_learn_in_the_next_10_years-@thedankoe.md,27627,True,https://x.com/thedankoe/status/2009320195848872014,filename+url
30,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/14-philosophical-wildcards-cultural-commentary/20260108-x_article-the_most_important_skill_to_learn_in_the_next_10_years-@thedankoe.md,27627,True,https://x.com/thedankoe/status/2009320195848872014,filename+url
31,keep,A,/Users/system/Desktop/research/20260205-x_article-the_skill_that_changed_how_i_use_claude_for_marketing-@vibemarketer_.md,3208,True,https://x.com/VibeMarketer_/status/2019435524532904205,filename+url
31,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/05-claude-code-cowork-power-patterns/20260205-x_article-the_skill_that_changed_how_i_use_claude_for_marketing-@vibemarketer_.md,3208,True,https://x.com/VibeMarketer_/status/2019435524532904205,filename+url
32,keep,A,/Users/system/Desktop/research/20260205-x_article-the_design_vibeshift-@pablostanley.md,8870,True,https://x.com/pablostanley/status/2019508029390221706,filename+url
32,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/09-design-in-ai-era/20260205-x_article-the_design_vibeshift-@pablostanley.md,8870,True,https://x.com/pablostanley/status/2019508029390221706,filename+url
33,keep,A,/Users/system/Desktop/research/RESPONSE-DIVINER-20260203-openclaw_deep_research.md,28572,False,,filename
33,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/11-openclaw-deep-research-constellation/RESPONSE-DIVINER-20260203-openclaw_deep_research.md,28572,False,,filename
34,keep,A,/Users/system/Desktop/research/20260205-x_article-ai_will_not_eat_ui-@aidenybai.md,3248,True,https://x.com/aidenybai/status/2019560357141049805,filename+url
34,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/08-vibe-coding-software-abundance/20260205-x_article-ai_will_not_eat_ui-@aidenybai.md,3248,True,https://x.com/aidenybai/status/2019560357141049805,filename+url
35,keep,A,/Users/system/Desktop/research/RESPONSE-ORACLE-20260203-openclaw_deep_research.md,9945,False,,filename
35,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/11-openclaw-deep-research-constellation/RESPONSE-ORACLE-20260203-openclaw_deep_research.md,9945,False,,filename
36,keep,A,/Users/system/Desktop/research/20260205-x_article-the_clawdbot_masterclass_from_setup_to_10_plus_hours_saved_per_week-@ganimcorey.md,8344,True,https://x.com/GanimCorey/status/2019515233392349326,filename+url
36,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/01-openclaw-architecture-setup/20260205-x_article-the_clawdbot_masterclass_from_setup_to_10_plus_hours_saved_per_week-@ganimcorey.md,8344,True,https://x.com/GanimCorey/status/2019515233392349326,filename+url
37,keep,A,/Users/system/Desktop/research/20260203-x_article-openclaw_honcho_memory_that_reasons_for_openclaw-@honchodotdev.md,2511,True,https://x.com/honchodotdev/status/2018701610596098435,filename+url
37,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/03-agent-memory-systems/20260203-x_article-openclaw_honcho_memory_that_reasons_for_openclaw-@honchodotdev.md,2511,True,https://x.com/honchodotdev/status/2018701610596098435,filename+url
38,keep,A,/Users/system/Desktop/research/20260205-x_article-gpt_5_3_codex_and_opus_4_6_an_unexpected_breakthrough_everything_important_here-@kimmonismus.md,4787,True,https://x.com/kimmonismus/status/2019488076796686621,filename+url
38,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/05-claude-code-cowork-power-patterns/20260205-x_article-gpt_5_3_codex_and_opus_4_6_an_unexpected_breakthrough_everything_important_here-@kimmonismus.md,4787,True,https://x.com/kimmonismus/status/2019488076796686621,filename+url
39,keep,A,/Users/system/Desktop/research/20260203-x_article-call_your_openclaw_over_the_phone_using_elevenlabs_agents-@elevenlabsdevs.md,5232,True,https://x.com/ElevenLabsDevs/status/2018798792485880209,filename+url
39,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/12-homelab-infrastructure/20260204-x_article-call_your_openclaw_over_the_phone_using_elevenlabs_agents-@elevenlabsdevs.md,5348,True,https://x.com/ElevenLabsDevs/status/2018798792485880209,filename+url
39,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/12-homelab-infrastructure/20260203-x_article-call_your_openclaw_over_the_phone_using_elevenlabs_agents-@elevenlabsdevs.md,5232,True,https://x.com/ElevenLabsDevs/status/2018798792485880209,filename+url
40,keep,A,/Users/system/Desktop/research/20260206-x_thread-3_things_you_need_to_build-@alexfinn.md,2886,True,https://x.com/AlexFinn/status/2019816560190521563,filename+url
40,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/10-ai-engineering-roadmaps-architecture/20260206-x_thread-3_things_you_need_to_build-@alexfinn.md,2886,True,https://x.com/AlexFinn/status/2019816560190521563,filename+url
41,keep,A,/Users/system/Desktop/research/20260206-x_article-the_skills_masterclass_5_ai_workflows_that_run_forever-@ganimcorey.md,6596,True,https://x.com/GanimCorey/status/2019787923202195507,filename+url
41,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/05-claude-code-cowork-power-patterns/20260206-x_article-the_skills_masterclass_5_ai_workflows_that_run_forever-@ganimcorey.md,6596,True,https://x.com/GanimCorey/status/2019787923202195507,filename+url
42,keep,A,/Users/system/Desktop/research/20260201-x_article-what_makes_an_engineer_when_everyone_can_vibe_code-@rohit4verse.md,8466,True,https://x.com/rohit4verse/status/2018013775023263806,filename+url
42,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/08-vibe-coding-software-abundance/20260201-x_article-what_makes_an_engineer_when_everyone_can_vibe_code-@rohit4verse.md,8466,True,https://x.com/rohit4verse/status/2018013775023263806,filename+url
42,delete,C,/Users/system/Desktop/NotebookLM Pipeline -Sources/ai-engineering/20260201-x_article-what_makes_an_engineer_when_everyone_can_vibe_code-@rohit4verse.md,8224,True,https://x.com/rohit4verse/status/2018013775023263806,filename+url
43,keep,A,/Users/system/Desktop/research/20260207-x_article-agent_teams_in_claude_code-@dani_avila7.md,6306,True,https://x.com/dani_avila7/status/2020170608290549906,filename+url
43,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/05-claude-code-cowork-power-patterns/20260207-x_article-agent_teams_in_claude_code-@dani_avila7.md,6306,True,https://x.com/dani_avila7/status/2020170608290549906,filename+url
44,keep,A,/Users/system/Desktop/research/20260206-x_article-how_openclaw_codex_are_changing_the_way_i_work_as_a_designer-@mengto.md,18440,True,https://x.com/MengTo/status/2019789723590697257,filename+url
44,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/09-design-in-ai-era/20260206-x_article-how_openclaw_codex_are_changing_the_way_i_work_as_a_designer-@mengto.md,18440,True,https://x.com/MengTo/status/2019789723590697257,filename+url
45,keep,A,/Users/system/Desktop/research/20260203-x_thread-this_prompt_is_your_ai_coding-kloss_xyz.md,10326,True,https://x.com/kloss_xyz/status/2018762791692423242,filename+url
45,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/13-prompt-engineering-skills-craft/20260203-x_thread-this_prompt_is_your_ai_coding-kloss_xyz.md,10326,True,https://x.com/kloss_xyz/status/2018762791692423242,filename+url
45,delete,C,/Users/system/Desktop/NotebookLM Pipeline -Sources/prompt-engineering/20260203-x_thread-this_prompt_is_your_ai-@kloss_xyz.md,11935,True,https://x.com/kloss_xyz/status/2018762791692423242,filename+url
46,keep,A,/Users/system/Desktop/research/20260204-x_article-the_agent_will_eat_your_system_of_record-@zain_hoda.md,6423,True,https://x.com/zain_hoda/status/2019049069134417975,filename+url
46,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/07-economic-reckoning-saas-labor-society/20260204-x_article-the_agent_will_eat_your_system_of_record-@zain_hoda.md,6423,True,https://x.com/zain_hoda/status/2019049069134417975,filename+url
47,keep,A,/Users/system/Desktop/research/20260124-x_article-what_is_clawdbot_and_why_people_are_losing_their_minds_over_it-@noahepstein_.md,7602,True,https://x.com/NoahEpstein_/status/2015073824799371370,filename+url
47,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/01-openclaw-architecture-setup/20260124-x_article-what_is_clawdbot_and_why_people_are_losing_their_minds_over_it-@noahepstein_.md,7602,True,https://x.com/NoahEpstein_/status/2015073824799371370,filename+url
48,keep,A,/Users/system/Desktop/research/20260202-x_thread-i_think_people_are_sleeping-@garrytan.md,2808,True,https://x.com/garrytan/status/2018368128108167344,filename+url
48,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/07-economic-reckoning-saas-labor-society/20260202-x_thread-i_think_people_are_sleeping-@garrytan.md,2808,True,https://x.com/garrytan/status/2018368128108167344,filename+url
48,delete,C,/Users/system/Desktop/NotebookLM Pipeline -Sources/claude-code/20260202-x_thread-i_think_people_are_sleeping_a-@garrytan.md,2327,True,https://x.com/garrytan/status/2018368128108167344,filename+url
49,keep,A,/Users/system/Desktop/research/20260208-x_article-youre_using_opus_46_wrong-@godofprompt.md,23819,True,https://x.com/godofprompt/status/2020499426389741784,filename+url
49,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/05-claude-code-cowork-power-patterns/20260208-x_article-youre_using_opus_46_wrong-@godofprompt.md,23819,True,https://x.com/godofprompt/status/2020499426389741784,filename+url
50,keep,A,/Users/system/Desktop/research/20260210-x_article-ai_for_enterprise_finance-@vasuman.md,20313,True,https://x.com/vasuman/status/2021362047980892628,filename+url
50,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/07-economic-reckoning-saas-labor-society/20260210-x_article-ai_for_enterprise_finance-@vasuman.md,20313,True,https://x.com/vasuman/status/2021362047980892628,filename+url
51,keep,A,/Users/system/Desktop/research/20260206-x_article-claude_code_agent_teams_what_i_learned_from_testing-@ericbuess.md,23579,True,https://x.com/EricBuess/status/2019817656745128366,filename+url
51,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/06-multi-agent-orchestration-swarms/20260206-x_article-claude_code_agent_teams_what_i_learned_from_testing-@ericbuess.md,23579,True,https://x.com/EricBuess/status/2019817656745128366,filename+url
52,keep,A,/Users/system/Desktop/research/20260129-website-introducing-openclaw--openclaw.md,4169,True,https://openclaw.ai/blog/introducing-openclaw,filename+url
52,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/01-openclaw-architecture-setup/20260129-website-introducing-openclaw--openclaw.md,4169,True,https://openclaw.ai/blog/introducing-openclaw,filename+url
53,keep,A,/Users/system/Desktop/research/20260203-x_article-unbrowse_100x_faster_than_browser_automation-@getfoundry.md,6521,True,https://x.com/getFoundry/status/2018751025520513391,filename+url
53,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/08-vibe-coding-software-abundance/20260203-x_article-unbrowse_100x_faster_than_browser_automation-@getfoundry.md,6521,True,https://x.com/getFoundry/status/2018751025520513391,filename+url
54,keep,A,/Users/system/Desktop/research/20260206-x_article-git_hooks_in_claude_code-@amorriscode.md,2141,True,https://x.com/amorriscode/status/2019833252794757299,filename+url
54,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/05-claude-code-cowork-power-patterns/20260206-x_article-git_hooks_in_claude_code-@amorriscode.md,2141,True,https://x.com/amorriscode/status/2019833252794757299,filename+url
55,keep,A,/Users/system/Desktop/research/20260203-x_article-conspiracy_theory_time_ready_tesla_spacex_merger_national_security-@farzyness.md,3151,True,https://x.com/farzyness/status/2018816737853227509,filename+url
55,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/14-philosophical-wildcards-cultural-commentary/20260203-x_article-conspiracy_theory_time_ready_tesla_spacex_merger_national_security-@farzyness.md,3151,True,https://x.com/farzyness/status/2018816737853227509,filename+url
55,delete,C,/Users/system/Desktop/NotebookLM Pipeline -Sources/philosophy-paradigm/20260203-x_article-conspiracy_theory_time_ready-@farzyness.md,3420,True,https://x.com/farzyness/status/2018816737853227509,filename+url
56,keep,A,/Users/system/Desktop/research/20260206-x_thread-local_ai_today_is_mostly-@asadkkhaliq.md,2354,True,https://x.com/asadkkhaliq/status/2019769887087046986,filename+url
56,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/10-ai-engineering-roadmaps-architecture/20260206-x_thread-local_ai_today_is_mostly-@asadkkhaliq.md,2354,True,https://x.com/asadkkhaliq/status/2019769887087046986,filename+url
57,keep,A,/Users/system/Desktop/research/20260206-x_thread-ive_used_openclaw_for_a-@jacobsklug.md,4072,True,https://x.com/Jacobsklug/status/2019768290336453024,filename+url
57,delete,B-research-notebooks,/Users/system/Desktop/syncrescendence/04-SOURCES/research-notebooks/01-openclaw-architecture-setup/20260206-x_thread-ive_used_openclaw_for_a-@jacobsklug.md,4072,True,https://x.com/Jacobsklug/status/2019768290336453024,filename+url
58,keep,A,/Users/system/Desktop/research/20260205-x_article-openclaw_workforce_the_complete_guide_to_running_yours-@andrewwarner.md,8511,True,https://x.com/AndrewWarner/status/2019456827033866482,filename+url
