path,stratum,action_candidate,rationale,risk_level
DIRECTIVE-044A.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-044B.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-045A.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-045B.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-046A.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-046B.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
INTERACTION_PARADIGM.md,ORPHAN,RELOCATE→05-ARCHIVE OR integrate,Working document,LOW
ORACLE12_PEDIGREE-045.md,ORPHAN,RELOCATE→00-ORCHESTRATION/oracle_contexts,Oracle context variant,LOW
ORACLE12_PEDIGREE.md,ORPHAN,RELOCATE→00-ORCHESTRATION/oracle_contexts,Oracle context,LOW
ORACLE12_SESSION_DELIVERABLES.md,ORPHAN,RELOCATE→00-ORCHESTRATION/oracle_contexts,Oracle deliverables,LOW
ORACLE13_CONTEXT.md,ORPHAN,RELOCATE→00-ORCHESTRATION/oracle_contexts,Latest oracle context!,MEDIUM
SOURCES_ANALYSIS_REPORT.md,ORPHAN,RELOCATE→04-SOURCES OR 05-ARCHIVE,Analysis report,LOW
"Stop Using Claude Code Like This (Use Sub-Agents Instead).md",ORPHAN,RELOCATE→claudecode OR 04-SOURCES/raw,External article capture,LOW
"Why I Stopped Using MCPs in Claude Code (And What I Use Instead).md",ORPHAN,RELOCATE→claudecode OR 04-SOURCES/raw,External article capture,LOW
checklist.md,ORPHAN,RELOCATE→05-ARCHIVE OR DELETE,Working checklist,LOW
deviser1_continuity.md,ORPHAN,COMPRESS→05-ARCHIVE,ChatGPT continuity capture,LOW
frontier_models.md,ORPHAN,RELOCATE→05-ARCHIVE,Temporal snapshot - obsolete,LOW
google_research.md,ORPHAN,RELOCATE→04-SOURCES/raw,Research notes,LOW
openai_research.md,ORPHAN,RELOCATE→04-SOURCES/raw,Research notes,LOW
oracle_memories.md,ORPHAN,COMPRESS→05-ARCHIVE,ChatGPT memory backup,LOW
oracle_process_archaelogy.md,ORPHAN,COMPRESS→05-ARCHIVE,Process archaeology,LOW
oracle_verification_manifest.md,ORPHAN,RELOCATE→05-ARCHIVE,Verification checklist,LOW
platform_features.md,ORPHAN,RELOCATE→05-ARCHIVE,Temporal platform features,LOW
previous_thread.md,ORPHAN,COMPRESS→05-ARCHIVE,Prior thread context,LOW
rapport_contract.md,ORPHAN,RELOCATE→05-ARCHIVE OR integrate,Rapport contract,LOW
agents/,ORPHAN_DIR,RELOCATE→04-SOURCES/raw,Research directory at root,LOW
claudecode/,ORPHAN_DIR,RELOCATE→04-SOURCES/raw,Research directory at root,LOW
clitool/,ORPHAN_DIR,RELOCATE→04-SOURCES/raw,Research directory at root,LOW
codex/,ORPHAN_DIR,RELOCATE→04-SOURCES/raw,Research directory at root,LOW
cowork/,ORPHAN_DIR,RELOCATE→04-SOURCES/raw,Research directory at root,LOW
promptengineering/,ORPHAN_DIR,RELOCATE→04-SOURCES/raw,Research directory at root,LOW
system_prompts/,ORPHAN_DIR,RELOCATE→02-OPERATIONAL/prompts OR 05-ARCHIVE,Old prompts directory,MEDIUM
.decisions/,ORPHAN_DIR,RELOCATE→00-ORCHESTRATION/state OR delete,Old decisions directory,LOW
.tmp.driveupload/,DETRITUS,DELETE,Drive sync artifact,LOW
.DS_Store,DETRITUS,DELETE,macOS artifact,NONE
OUTGOING/,OUTGOING,KEEP,Visibility bundles,LOW
00-ORCHESTRATION/,ORCHESTRATION,KEEP,Protected operational zone,LOW
01-CANON/,CANON,KEEP,Protected canonical zone,LOW
02-OPERATIONAL/,OPERATIONAL,KEEP,Operational resources,LOW
03-QUEUE/,QUEUE,KEEP,Processing queue,LOW
04-SOURCES/,SOURCES,KEEP,Source pipeline,LOW
05-ARCHIVE/,ARCHIVE,KEEP,Historical preservation,LOW
06-EXEMPLA/,EXEMPLA,KEEP,Templates,LOW
config/,RESOURCES,KEEP,Configuration,LOW
.claude/,RESOURCES,KEEP,Claude Code configuration,LOW
.obsidian/,RESOURCES,KEEP,Obsidian configuration,LOW
.git/,GIT,KEEP,Version control,NONE
.gitignore,GIT,KEEP,Git ignore rules,NONE
.gitattributes,GIT,KEEP,Git attributes,NONE
