platform_feature,account_scope,teleology,risks,prerequisites,when_to_use,low_hanging_now,deep_contrivance
notebooklm_audio_overview,google_gmail,"AI-generated audio digest of sources","english_only;automated_framing","Sources uploaded to notebook","Audio learning;Commute listening;Source familiarization",YES,NO
grok_realtime,xai_icloud,"Real-time web and X/Twitter integration for current events","no_memory;x_bias;free_tier_limits_unknown","Grok account (free tier)","Current events;Social sentiment;Real-time queries",YES,NO
grok_voice_api,xai_icloud,"Real-time conversational voice agent with tool calling","cost_per_minute;setup_required;voice_only","API billing setup;Voice use case identified","Embedded voice agents;Real-time verbal interaction",NO,YES
perplexity_research,perplexity_separate,"Citation-disciplined web research with source verification","stateless;no_memory;subscription_recommended","Perplexity account (free or Pro)","Factual research;Source verification;Current information with citations",YES,NO
notion_workspace,personal_icloud,"External document storage with kanban and Notion AI assistance","workspace_bound;no_code;separate_ecosystem","Notion subscription;Workspace configured","External documentation;Kanban boards;Non-repo content",YES,NO
notion_ai,personal_icloud,"In-document AI for drafting and summarization","limited_reasoning;workspace_context_only","Notion paid plan","Quick drafts;Summarization;In-document help",YES,NO
google_drive,google_gmail,"Cloud file storage with Gemini integration","15gb_limit_free;shared_with_gmail","Google account","Gemini-accessible storage;Shared documents;Backup",YES,NO
google_docs_ai,google_gmail,"In-document writing assistance for Docs","document_bound;limited_reasoning","Google account;Document open","Drafting;Rewriting;Summarization in Docs",YES,NO
youtube_premium,google_gmail,"Ad-free YouTube with background play and downloads","consumption_only;no_creation_from_icloud","YouTube Premium (family plan)","Video consumption;Background listening;Offline access",YES,NO
github_repos,hybrid_gmail,"Code repository hosting with Actions CI/CD","public_default_free;visibility_discipline","GitHub account;Repo created","All code storage;CI/CD;Collaboration",YES,NO
github_actions,hybrid_gmail,"Automated CI/CD workflows triggered by repo events","minutes_limited_free;yaml_complexity","GitHub repo;Workflow file configured","Automated testing;Deployment;Scheduled tasks",YES,NO
supabase_backend,hybrid_gmail,"Backend-as-a-service with Postgres and Auth","usage_based_billing;setup_required","Supabase project created;Schema defined","Database persistence;Authentication;API endpoints",NO,YES
midjourney_images,personal_icloud,"AI image generation from text prompts","discord_interface;no_api;monthly_generations","Midjourney subscription;Discord access","Visual creation;Concept visualization;Imagery for docs",YES,NO
apple_notes,personal_icloud,"Quick capture on Apple devices with sync","no_ai;apple_ecosystem_only","Apple devices;iCloud","Quick mobile capture;Apple-synced notes",YES,NO
orbit2_ssh,hybrid_gmail,"Remote Mac Mini for persistent background execution","network_required;separate_context","SSH keys configured;Mac Mini running","Long-running tasks;Persistent processes;Remote execution",NO,YES
